year,month,month_label,practice,revenue_usd,staff_cost_usd,overhead_usd,operating_profit_usd,margin_pct
2024,1,Jan 2024,Technology & Digital,753900,387900,81300,284700,37.8
2024,1,Jan 2024,Finance & Risk,458300,244200,56700,157400,34.3
2024,1,Jan 2024,HR & People,322500,178200,32800,111500,34.6
2024,2,Feb 2024,Strategy & Growth,609000,292800,63300,252900,41.5
2024,2,Feb 2024,Operations Excellence,541600,286000,66900,188700,34.8
2024,2,Feb 2024,Technology & Digital,765500,408500,77400,279600,36.5
2024,2,Feb 2024,Finance & Risk,488700,263700,54300,170700,34.9
2024,2,Feb 2024,HR & People,343600,174600,46100,122900,35.8
2024,3,Mar 2024,Strategy & Growth,723600,382800,87000,253800,35.1
2024,3,Mar 2024,Operations Excellence,603400,329200,78800,195400,32.4
2024,3,Mar 2024,Technology & Digital,893900,480300,123900,289700,32.4
2024,3,Mar 2024,Finance & Risk,550100,297200,55100,197800,36.0
2024,3,Mar 2024,HR & People,392100,217200,53600,121300,30.9
2024,4,Apr 2024,Strategy & Growth,753300,390200,96400,266700,35.4
2024,4,Apr 2024,Operations Excellence,632300,337600,65900,228800,36.2
2024,4,Apr 2024,Technology & Digital,956900,534400,111900,310600,32.5
2024,4,Apr 2024,Finance & Risk,592400,303700,77300,211400,35.7
2024,4,Apr 2024,HR & People,385500,199400,46600,139500,36.2
2024,5,May 2024,Strategy & Growth,737600,375400,82300,279900,37.9
2024,5,May 2024,Operations Excellence,688800,335200,82500,271100,39.4
2024,5,May 2024,Technology & Digital,926300,478500,119900,327900,35.4
2024,5,May 2024,Finance & Risk,617400,337900,67300,212200,34.4
2024,5,May 2024,HR & People,398100,222500,46600,129000,32.4
2024,6,Jun 2024,Strategy & Growth,793400,437600,104800,251000,31.6
2024,6,Jun 2024,Operations Excellence,728100,370900,73200,284000,39.0
2024,6,Jun 2024,Technology & Digital,988600,527700,114500,346400,35.0
2024,6,Jun 2024,Finance & Risk,624200,333400,65400,225400,36.1
2024,6,Jun 2024,HR & People,409800,219500,57000,133300,32.5
2024,7,Jul 2024,Strategy & Growth,665400,366900,71000,227500,34.2
2024,7,Jul 2024,Operations Excellence,578300,286800,62500,229000,39.6
2024,7,Jul 2024,Technology & Digital,857100,439100,93700,324300,37.8
2024,7,Jul 2024,Finance & Risk,524300,272600,68500,183200,34.9
2024,7,Jul 2024,HR & People,364000,192000,47400,124600,34.2
2024,8,Aug 2024,Strategy & Growth,693700,385300,79300,229100,33.0
2024,8,Aug 2024,Operations Excellence,620800,345200,86600,189000,30.4
2024,8,Aug 2024,Technology & Digital,853300,419600,100800,332900,39.0
2024,8,Aug 2024,Finance & Risk,523000,271500,57100,194400,37.2
2024,8,Aug 2024,HR & People,384600,185500,49800,149300,38.8
2024,9,Sep 2024,Strategy & Growth,806800,419400,81500,305900,37.9
2024,9,Sep 2024,Operations Excellence,678300,358400,76700,243200,35.9
2024,9,Sep 2024,Technology & Digital,964300,510900,125800,327600,34.0
2024,9,Sep 2024,Finance & Risk,647200,337600,77500,232100,35.9
2024,9,Sep 2024,HR & People,421600,212300,50600,158700,37.6
2024,10,Oct 2024,Strategy & Growth,799300,418300,105800,275200,34.4
2024,10,Oct 2024,Operations Excellence,729800,351300,95300,283200,38.8
2024,10,Oct 2024,Technology & Digital,1076600,592600,112800,371200,34.5
2024,10,Oct 2024,Finance & Risk,649700,356200,76500,217000,33.4
2024,10,Oct 2024,HR & People,411500,203300,52000,156200,38.0
2024,11,Nov 2024,Strategy & Growth,809900,446100,86300,277500,34.3
2024,11,Nov 2024,Operations Excellence,706500,356800,81600,268100,37.9
2024,11,Nov 2024,Technology & Digital,1029000,540700,123100,365200,35.5
2024,11,Nov 2024,Finance & Risk,645300,337600,76700,231000,35.8
2024,11,Nov 2024,HR & People,430600,212100,44000,174500,40.5
2024,12,Dec 2024,Strategy & Growth,650500,343000,74900,232600,35.8
2024,12,Dec 2024,Operations Excellence,621600,336500,69200,215900,34.7
2024,12,Dec 2024,Technology & Digital,807300,425600,84900,296800,36.8
2024,12,Dec 2024,Finance & Risk,539000,293600,66500,178900,33.2
2024,12,Dec 2024,HR & People,376800,199700,43400,133700,35.5
2025,1,Jan 2025,Strategy & Growth,663500,371100,77300,215100,32.4
2025,1,Jan 2025,Operations Excellence,576000,287700,63000,225300,39.1
2025,1,Jan 2025,Technology & Digital,832600,405300,106200,321100,38.6
2025,1,Jan 2025,Finance & Risk,571800,279700,61100,231000,40.4
2025,1,Jan 2025,HR & People,366700,177100,46300,143300,39.1
2025,2,Feb 2025,Strategy & Growth,697000,363300,81400,252300,36.2
2025,2,Feb 2025,Operations Excellence,602800,312000,60800,230000,38.2
2025,2,Feb 2025,Technology & Digital,875700,460300,98900,316500,36.1
2025,2,Feb 2025,Finance & Risk,547900,284400,69900,193600,35.3
2025,2,Feb 2025,HR & People,370200,192400,49000,128800,34.8
2025,3,Mar 2025,Strategy & Growth,805200,397200,90200,317800,39.5
2025,3,Mar 2025,Operations Excellence,758000,376100,95100,286800,37.8
2025,3,Mar 2025,Technology & Digital,1061800,516100,142300,403400,38.0
2025,3,Mar 2025,Finance & Risk,623700,312600,69800,241300,38.7
2025,3,Mar 2025,HR & People,434400,236500,54300,143600,33.1
2025,4,Apr 2025,Strategy & Growth,859900,462100,105900,291900,33.9
2025,4,Apr 2025,Operations Excellence,749200,376000,91900,281300,37.5
2025,4,Apr 2025,Technology & Digital,1041300,535400,118600,387300,37.2
2025,4,Apr 2025,Finance & Risk,633000,345600,76100,211300,33.4
2025,4,Apr 2025,HR & People,433900,231300,48800,153800,35.4
2025,5,May 2025,Strategy & Growth,823700,411900,99400,312400,37.9
2025,5,May 2025,Operations Excellence,772200,404500,104400,263300,34.1
2025,5,May 2025,Technology & Digital,1075500,560700,115600,399200,37.1
2025,5,May 2025,Finance & Risk,680900,362800,90500,227600,33.4
2025,5,May 2025,HR & People,477800,239600,60000,178200,37.3
2025,6,Jun 2025,Strategy & Growth,889800,487800,121300,280700,31.5
2025,6,Jun 2025,Operations Excellence,820700,441600,84000,295100,36.0
2025,6,Jun 2025,Technology & Digital,1052800,544300,115400,393100,37.3
2025,6,Jun 2025,Finance & Risk,722800,391200,96700,234900,32.5
2025,6,Jun 2025,HR & People,463000,254100,63200,145700,31.5
2025,7,Jul 2025,Strategy & Growth,741000,405800,82000,253200,34.2
2025,7,Jul 2025,Operations Excellence,646100,318400,82400,245300,38.0
2025,7,Jul 2025,Technology & Digital,898800,448600,95300,354900,39.5
2025,7,Jul 2025,Finance & Risk,562900,306100,63300,193500,34.4
2025,7,Jul 2025,HR & People,397100,222100,46400,128600,32.4
2025,8,Aug 2025,Strategy & Growth,791800,392900,87800,311100,39.3
2025,8,Aug 2025,Operations Excellence,647600,351800,72000,223800,34.6
2025,8,Aug 2025,Technology & Digital,966800,513900,98300,354600,36.7
2025,8,Aug 2025,Finance & Risk,634300,344200,64800,225300,35.5
2025,8,Aug 2025,HR & People,431400,217900,48300,165200,38.3
2025,9,Sep 2025,Strategy & Growth,829300,461400,112700,255200,30.8
2025,9,Sep 2025,Operations Excellence,812000,447300,94100,270600,33.3
2025,9,Sep 2025,Technology & Digital,1159300,634600,126900,397800,34.3
2025,9,Sep 2025,Finance & Risk,722100,375500,75700,270900,37.5
2025,9,Sep 2025,HR & People,486800,256300,63800,166700,34.2
2025,10,Oct 2025,Strategy & Growth,903600,469600,93600,340400,37.7
2025,10,Oct 2025,Operations Excellence,828800,449100,93300,286400,34.6
2025,10,Oct 2025,Technology & Digital,1192300,642600,157700,392000,32.9
2025,10,Oct 2025,Finance & Risk,758700,421000,82500,255200,33.6
2025,10,Oct 2025,HR & People,468200,232800,52000,183400,39.2
2025,11,Nov 2025,Strategy & Growth,874000,479900,89400,304700,34.9
2025,11,Nov 2025,Operations Excellence,806600,432300,84300,290000,36.0
2025,11,Nov 2025,Technology & Digital,1130900,585800,124200,420900,37.2
2025,11,Nov 2025,Finance & Risk,703800,382000,74500,247300,35.1
2025,11,Nov 2025,HR & People,480600,244800,54000,181800,37.8
2025,12,Dec 2025,Strategy & Growth,768200,424400,77900,265900,34.6
2025,12,Dec 2025,Operations Excellence,706100,384100,72200,249800,35.4
2025,12,Dec 2025,Technology & Digital,1009100,538600,111100,359400,35.6
2025,12,Dec 2025,Finance & Risk,609200,323600,78000,207600,34.1
2025,12,Dec 2025,HR & People,431800,230900,52400,148500,34.4
2026,1,Jan 2026,Strategy & Growth,685500,353300,68800,263400,38.4
2026,1,Jan 2026,Operations Excellence,679100,376400,92800,209900,30.9
2026,1,Jan 2026,Technology & Digital,879400,488000,114600,276800,31.5
2026,1,Jan 2026,Finance & Risk,565100,310100,60100,194900,34.5
2026,1,Jan 2026,HR & People,383300,193700,50800,138800,36.2
2026,2,Feb 2026,Strategy & Growth,757000,411200,84000,261800,34.6
2026,2,Feb 2026,Operations Excellence,642400,348400,76900,217100,33.8
2026,2,Feb 2026,Technology & Digital,974000,539700,110400,323900,33.3
2026,2,Feb 2026,Finance & Risk,603200,333900,62700,206600,34.3
2026,2,Feb 2026,HR & People,389400,195000,40000,154400,39.7
2026,3,Mar 2026,Strategy & Growth,827000,445200,100800,281000,34.0
2026,3,Mar 2026,Operations Excellence,743200,398100,97000,248100,33.4
2026,3,Mar 2026,Technology & Digital,1080600,534600,127200,418800,38.8
2026,3,Mar 2026,Finance & Risk,694700,333600,75000,286100,41.2
2026,3,Mar 2026,HR & People,444800,234000,46500,164300,36.9
2026,4,Apr 2026,Strategy & Growth,836200,449100,109300,277800,33.2
2026,4,Apr 2026,Operations Excellence,797800,391200,98700,307900,38.6
2026,4,Apr 2026,Technology & Digital,1085400,602600,128100,354700,32.7
2026,4,Apr 2026,Finance & Risk,737000,361600,78800,296600,40.2
2026,4,Apr 2026,HR & People,475500,240700,52900,181900,38.3
