client_id,client_name,industry,region,relationship_start,account_manager,ltm_revenue_usd,contract_type,nps_score,status,active_projects,total_projects_lifetime
C1038,Maple Healthcare,Manufacturing,West Coast,2021-03-23,Daniel Collins,982000,Project-based,35,Active,2,15
C1039,Northern Energy Systems,Retail & Consumer,Midwest,2017-05-06,Hannah Young,390000,Retainer,58,Inactive,2,5
C1040,Orion Technologies,Energy & Utilities,Northeast,2018-10-13,Thomas Harris,2716000,Master Service Agreement,70,Active,1,1
C1041,Premier Insurance,Public Sector,West Coast,2021-01-26,David Rivera,1623000,Retainer,51,Active,0,1
C1042,Quest Healthcare,Financial Services,Northeast,2018-06-29,Adam King,496000,Retainer,71,Active,4,9
C1043,Redwood Capital,Healthcare,Northeast,2016-03-30,David Rivera,2792000,Spot,45,Inactive,0,11
C1044,Sterling Manufacturing,Manufacturing,Northeast,2016-06-23,James Collins,2647000,Spot,26,Active,3,1
C1045,Titan Energy,Retail & Consumer,West Coast,2020-10-13,Nicole Carter,608000,Master Service Agreement,47,Inactive,3,5
C1046,United Financial Services,Energy & Utilities,Northeast,2022-11-20,Alyssa Parker,1791000,Spot,51,Active,4,16
C1047,Vista Healthcare,Public Sector,Northeast,2016-12-25,Christina Thompson,891000,Project-based,37,Active,0,13
C1048,Walton Retail,Financial Services,Midwest,2021-05-18,Matthew Wright,1593000,Master Service Agreement,82,Active,2,6
C1049,Xavier Technologies,Healthcare,Northeast,2019-07-30,Katherine Sanchez,1732000,Master Service Agreement,23,Inactive,3,17
C1050,York Capital Management,Manufacturing,Midwest,2022-07-20,Nicole Carter,2799000,Project-based,40,Active,4,2
C1051,Zenith Healthcare,Retail & Consumer,Southeast,2022-06-16,Isabella Clark,2393000,Project-based,69,Active,1,11
C1052,Acme Financial,Energy & Utilities,Midwest,2022-08-20,Victoria Wright,225000,Project-based,65,Inactive,1,16
C1053,Beacon Capital,Public Sector,International,2019-06-19,Sean Rodriguez,615000,Project-based,24,Active,0,17
C1054,Century Healthcare,Financial Services,West Coast,2016-01-03,Isabella Clark,1029000,Master Service Agreement,45,Active,2,2
C1055,Diamond Manufacturing,Healthcare,Northeast,2017-08-28,Amanda Evans,1705000,Master Service Agreement,38,Active,2,13
C1056,Elite Energy,Manufacturing,International,2017-02-17,Brenda Evans,1042000,Project-based,61,Active,3,11
C1057,Falcon Financial,Retail & Consumer,Southeast,2022-04-20,Matthew Wright,1988000,Project-based,65,Active,2,10
C1058,Gemstone Retail,Energy & Utilities,Southeast,2017-12-28,Isabella Clark,2081000,Retainer,70,Inactive,4,11
C1059,Heritage Bank,Public Sector,International,2018-06-23,Victoria Rivera,1845000,Project-based,33,Inactive,0,8
C1060,Iris Medical,Financial Services,Midwest,2019-08-01,Daniel Collins,595000,Master Service Agreement,31,Inactive,0,9
C1061,Jade Capital,Healthcare,Southeast,2018-10-19,Brian Nelson,1987000,Retainer,64,Active,0,13
C1062,Kestrel Energy,Manufacturing,West Coast,2020-09-14,Brittany Martin,2718000,Spot,72,Active,4,13
C1063,Lighthouse Insurance,Retail & Consumer,Northeast,2021-05-17,Brenda Collins,2240000,Retainer,48,Active,2,1
C1064,Momentum Healthcare,Energy & Utilities,Midwest,2018-12-05,David Clark,2672000,Spot,29,Active,0,18
C1065,Nexus Financial,Public Sector,Northeast,2019-10-16,David Clark,1724000,Spot,81,Active,4,14
C1066,Oakwood Manufacturing,Financial Services,Southeast,2016-08-07,Nicole Martin,418000,Spot,46,Inactive,4,9
C1067,Pinnacle Capital,Healthcare,Midwest,2019-05-03,Jessica Rodriguez,780000,Spot,26,Active,0,12
C1068,Quartz Energy,Manufacturing,Northeast,2020-10-17,Hannah Young,382000,Retainer,81,Active,1,10
C1069,Radiant Healthcare,Retail & Consumer,Northeast,2021-04-23,Amy Smith,2386000,Spot,59,Active,2,3
C1070,Sapphire Financial,Energy & Utilities,International,2020-05-06,Brenda Collins,640000,Spot,68,Active,2,15
C1071,Tempest Manufacturing,Public Sector,West Coast,2018-12-14,Hannah Parker,750000,Project-based,54,Active,0,12
C1072,Urbane Capital,Financial Services,International,2020-08-22,Christopher Anderson,2722000,Spot,49,Active,3,18
C1073,Vertex Healthcare,Healthcare,West Coast,2022-06-03,Brenda Collins,2486000,Spot,80,Active,4,17
C1074,Wyndham Financial,Manufacturing,International,2022-12-15,Hannah Young,541000,Project-based,77,Active,1,5
