client_id,client_name,fiscal_year,revenue_usd,industry,renewed,churn_reason
C1015,Pacific Healthcare,2025,1453000,Retail & Consumer,True,
C1016,Quantum Computing Inc,2023,1660000,Energy & Utilities,True,
C1016,Quantum Computing Inc,2024,1528000,Energy & Utilities,True,
C1016,Quantum Computing Inc,2025,1260000,Energy & Utilities,True,
C1017,Riverside Manufacturing,2023,1253000,Public Sector,True,
C1017,Riverside Manufacturing,2024,977000,Public Sector,True,
C1017,Riverside Manufacturing,2025,1361000,Public Sector,True,
C1018,Summit Financial,2023,564000,Financial Services,True,
C1018,Summit Financial,2024,782000,Financial Services,True,
C1018,Summit Financial,2025,808000,Financial Services,True,
C1019,Triumph Automotive,2023,1824000,Healthcare,True,
C1019,Triumph Automotive,2024,1670000,Healthcare,False,Budget cuts
C1019,Triumph Automotive,2025,1586000,Healthcare,True,
C1020,Union Pacific Holdings,2023,2922000,Manufacturing,True,
C1020,Union Pacific Holdings,2024,2595000,Manufacturing,True,
C1020,Union Pacific Holdings,2025,2145000,Manufacturing,False,Went to competitor
C1021,Vector Technologies,2023,255000,Retail & Consumer,True,
C1021,Vector Technologies,2024,296000,Retail & Consumer,True,
C1021,Vector Technologies,2025,292000,Retail & Consumer,True,
C1022,Westfield Consumer Goods,2023,1827000,Energy & Utilities,True,
C1022,Westfield Consumer Goods,2024,1888000,Energy & Utilities,False,Went to competitor
C1022,Westfield Consumer Goods,2025,2228000,Energy & Utilities,True,
C1023,Xenon Energy,2023,1503000,Public Sector,True,
C1023,Xenon Energy,2024,1311000,Public Sector,True,
C1023,Xenon Energy,2025,1292000,Public Sector,True,
C1024,Yellowstone Insurance,2023,784000,Financial Services,True,
C1024,Yellowstone Insurance,2024,801000,Financial Services,False,Pricing
C1024,Yellowstone Insurance,2025,847000,Financial Services,True,
C1025,Zenith Capital,2023,1601000,Healthcare,True,
C1025,Zenith Capital,2024,1389000,Healthcare,True,
C1025,Zenith Capital,2025,1620000,Healthcare,False,Budget cuts
C1026,Allstate Logistics,2023,173000,Manufacturing,True,
C1026,Allstate Logistics,2024,155000,Manufacturing,True,
C1026,Allstate Logistics,2025,151000,Manufacturing,True,
C1027,Brightwood Healthcare,2023,1285000,Retail & Consumer,False,Scope completed
C1027,Brightwood Healthcare,2024,1525000,Retail & Consumer,True,
C1027,Brightwood Healthcare,2025,1474000,Retail & Consumer,True,
C1028,Coastal Manufacturing,2023,984000,Energy & Utilities,True,
C1028,Coastal Manufacturing,2024,1192000,Energy & Utilities,True,
C1028,Coastal Manufacturing,2025,946000,Energy & Utilities,True,
C1029,Delta Financial,2023,310000,Public Sector,True,
C1029,Delta Financial,2024,308000,Public Sector,True,
C1029,Delta Financial,2025,360000,Public Sector,True,
C1030,Emerald Retail Group,2023,1101000,Financial Services,True,
C1030,Emerald Retail Group,2024,1051000,Financial Services,True,
C1030,Emerald Retail Group,2025,881000,Financial Services,True,
C1031,Frontier Energy,2023,2785000,Healthcare,True,
C1031,Frontier Energy,2024,2881000,Healthcare,True,
C1031,Frontier Energy,2025,2407000,Healthcare,True,
C1032,Global Asset Corp,2023,1457000,Manufacturing,False,Scope completed
C1032,Global Asset Corp,2024,1276000,Manufacturing,True,
C1032,Global Asset Corp,2025,1479000,Manufacturing,True,
C1033,Horizon Medical,2023,2410000,Retail & Consumer,True,
C1033,Horizon Medical,2024,3021000,Retail & Consumer,False,Pricing
C1033,Horizon Medical,2025,2330000,Retail & Consumer,True,
C1034,Imperial Bank,2023,2363000,Energy & Utilities,True,
C1034,Imperial Bank,2024,2719000,Energy & Utilities,True,
C1034,Imperial Bank,2025,2389000,Energy & Utilities,True,
C1035,Junction Manufacturing,2023,1828000,Public Sector,True,
C1035,Junction Manufacturing,2024,1828000,Public Sector,True,
C1035,Junction Manufacturing,2025,1715000,Public Sector,True,
C1036,Kingsley Consumer Brands,2023,2665000,Financial Services,True,
C1036,Kingsley Consumer Brands,2024,2065000,Financial Services,True,
C1036,Kingsley Consumer Brands,2025,2210000,Financial Services,True,
C1037,Liberty Financial,2023,2576000,Healthcare,True,
C1037,Liberty Financial,2024,2021000,Healthcare,True,
C1037,Liberty Financial,2025,1947000,Healthcare,True,
C1038,Maple Healthcare,2023,781000,Manufacturing,True,
C1038,Maple Healthcare,2024,847000,Manufacturing,True,
C1038,Maple Healthcare,2025,740000,Manufacturing,True,
C1039,Northern Energy Systems,2023,415000,Retail & Consumer,True,
C1039,Northern Energy Systems,2024,358000,Retail & Consumer,True,
C1039,Northern Energy Systems,2025,310000,Retail & Consumer,True,
C1040,Orion Technologies,2023,2920000,Energy & Utilities,False,Budget cuts
C1040,Orion Technologies,2024,2058000,Energy & Utilities,True,
C1040,Orion Technologies,2025,2066000,Energy & Utilities,True,
C1041,Premier Insurance,2023,1787000,Public Sector,True,
C1041,Premier Insurance,2024,1258000,Public Sector,True,
C1041,Premier Insurance,2025,1513000,Public Sector,True,
C1042,Quest Healthcare,2023,564000,Financial Services,True,
C1042,Quest Healthcare,2024,543000,Financial Services,True,
C1042,Quest Healthcare,2025,531000,Financial Services,True,
C1043,Redwood Capital,2023,2227000,Healthcare,True,
C1043,Redwood Capital,2024,2547000,Healthcare,True,
C1043,Redwood Capital,2025,2230000,Healthcare,True,
C1044,Sterling Manufacturing,2023,2023000,Manufacturing,True,
C1044,Sterling Manufacturing,2024,2767000,Manufacturing,True,
C1044,Sterling Manufacturing,2025,2461000,Manufacturing,True,
C1045,Titan Energy,2023,613000,Retail & Consumer,True,
C1045,Titan Energy,2024,589000,Retail & Consumer,False,Relationship change
C1045,Titan Energy,2025,531000,Retail & Consumer,False,Went to competitor
C1046,United Financial Services,2023,1675000,Energy & Utilities,True,
C1046,United Financial Services,2024,1805000,Energy & Utilities,True,
C1046,United Financial Services,2025,1742000,Energy & Utilities,True,
C1047,Vista Healthcare,2023,985000,Public Sector,True,
C1047,Vista Healthcare,2024,976000,Public Sector,True,
C1047,Vista Healthcare,2025,925000,Public Sector,False,Pricing
C1048,Walton Retail,2023,1209000,Financial Services,True,
C1048,Walton Retail,2024,1708000,Financial Services,True,
C1048,Walton Retail,2025,1671000,Financial Services,True,
C1049,Xavier Technologies,2023,1619000,Healthcare,True,
C1049,Xavier Technologies,2024,1246000,Healthcare,True,
C1049,Xavier Technologies,2025,1391000,Healthcare,True,
C1050,York Capital Management,2023,2954000,Manufacturing,True,
C1050,York Capital Management,2024,2701000,Manufacturing,True,
C1050,York Capital Management,2025,2918000,Manufacturing,True,
C1051,Zenith Healthcare,2023,1780000,Retail & Consumer,True,
C1051,Zenith Healthcare,2024,2189000,Retail & Consumer,True,
C1051,Zenith Healthcare,2025,2600000,Retail & Consumer,True,
C1052,Acme Financial,2023,246000,Energy & Utilities,True,
C1052,Acme Financial,2024,177000,Energy & Utilities,True,
C1052,Acme Financial,2025,237000,Energy & Utilities,True,
C1053,Beacon Capital,2023,463000,Public Sector,False,Pricing
C1053,Beacon Capital,2024,487000,Public Sector,True,
C1053,Beacon Capital,2025,544000,Public Sector,False,Relationship change
C1054,Century Healthcare,2023,1022000,Financial Services,True,
C1054,Century Healthcare,2024,1116000,Financial Services,True,
C1054,Century Healthcare,2025,890000,Financial Services,True,
C1055,Diamond Manufacturing,2023,1716000,Healthcare,True,
C1055,Diamond Manufacturing,2024,1511000,Healthcare,True,
C1055,Diamond Manufacturing,2025,1564000,Healthcare,True,
C1056,Elite Energy,2023,990000,Manufacturing,True,
C1056,Elite Energy,2024,873000,Manufacturing,True,
C1056,Elite Energy,2025,1060000,Manufacturing,True,
C1057,Falcon Financial,2023,2156000,Retail & Consumer,True,
C1057,Falcon Financial,2024,2061000,Retail & Consumer,True,
C1057,Falcon Financial,2025,2017000,Retail & Consumer,True,
C1058,Gemstone Retail,2023,1658000,Energy & Utilities,True,
C1058,Gemstone Retail,2024,1774000,Energy & Utilities,True,
C1058,Gemstone Retail,2025,2109000,Energy & Utilities,True,
C1059,Heritage Bank,2023,1425000,Public Sector,True,
C1059,Heritage Bank,2024,1296000,Public Sector,False,Went to competitor
C1059,Heritage Bank,2025,1683000,Public Sector,True,
C1060,Iris Medical,2023,440000,Financial Services,True,
C1060,Iris Medical,2024,516000,Financial Services,True,
C1060,Iris Medical,2025,610000,Financial Services,True,
C1061,Jade Capital,2023,1749000,Healthcare,True,
C1061,Jade Capital,2024,1647000,Healthcare,True,
C1061,Jade Capital,2025,1442000,Healthcare,True,
C1062,Kestrel Energy,2023,2117000,Manufacturing,True,
C1062,Kestrel Energy,2024,1916000,Manufacturing,True,
C1062,Kestrel Energy,2025,3041000,Manufacturing,True,
C1063,Lighthouse Insurance,2023,1764000,Retail & Consumer,True,
C1063,Lighthouse Insurance,2024,2083000,Retail & Consumer,True,
C1063,Lighthouse Insurance,2025,2188000,Retail & Consumer,True,
C1064,Momentum Healthcare,2023,2303000,Energy & Utilities,True,
C1064,Momentum Healthcare,2024,3044000,Energy & Utilities,False,Scope completed
C1064,Momentum Healthcare,2025,2808000,Energy & Utilities,True,
C1065,Nexus Financial,2023,1513000,Public Sector,True,
C1065,Nexus Financial,2024,1608000,Public Sector,True,
C1065,Nexus Financial,2025,1260000,Public Sector,False,Scope completed
C1066,Oakwood Manufacturing,2023,429000,Financial Services,True,
C1066,Oakwood Manufacturing,2024,402000,Financial Services,True,
C1066,Oakwood Manufacturing,2025,446000,Financial Services,True,
C1067,Pinnacle Capital,2023,884000,Healthcare,True,
C1067,Pinnacle Capital,2024,688000,Healthcare,False,Went to competitor
C1067,Pinnacle Capital,2025,689000,Healthcare,False,Budget cuts
C1068,Quartz Energy,2023,354000,Manufacturing,True,
C1068,Quartz Energy,2024,288000,Manufacturing,True,
C1068,Quartz Energy,2025,312000,Manufacturing,True,
C1069,Radiant Healthcare,2023,2522000,Retail & Consumer,True,
C1069,Radiant Healthcare,2024,2146000,Retail & Consumer,True,
C1069,Radiant Healthcare,2025,2189000,Retail & Consumer,True,
C1070,Sapphire Financial,2023,546000,Energy & Utilities,True,
C1070,Sapphire Financial,2024,644000,Energy & Utilities,True,
C1070,Sapphire Financial,2025,696000,Energy & Utilities,True,
C1071,Tempest Manufacturing,2023,612000,Public Sector,True,
C1071,Tempest Manufacturing,2024,791000,Public Sector,True,
C1071,Tempest Manufacturing,2025,762000,Public Sector,True,
C1072,Urbane Capital,2023,2411000,Financial Services,True,
C1072,Urbane Capital,2024,2562000,Financial Services,True,
C1072,Urbane Capital,2025,2228000,Financial Services,True,
C1073,Vertex Healthcare,2023,2186000,Healthcare,True,
C1073,Vertex Healthcare,2024,2123000,Healthcare,True,
C1073,Vertex Healthcare,2025,1940000,Healthcare,True,
C1074,Wyndham Financial,2023,432000,Manufacturing,True,
C1074,Wyndham Financial,2024,423000,Manufacturing,True,
C1074,Wyndham Financial,2025,605000,Manufacturing,True,
